model,context_set_id,dataset,context_size,accuracy_teacher,accuracy_indomain,accuracy_ood,trainable_parameters,all_parameters
opt-1.3b,0,mnli,16,0.4375,0.42,0.51,3145728,1318903808
opt-1.3b,0,mnli,2,0.5,0.56,0.43,3145728,1318903808
opt-1.3b,0,mnli,32,0.46875,0.41,0.5,3145728,1318903808
opt-1.3b,1,mnli,16,0.71875,0.61,0.57,3145728,1318903808
opt-1.3b,1,mnli,2,0.53125,0.6,0.56,3145728,1318903808
opt-1.3b,1,mnli,32,0.6875,0.62,0.53,3145728,1318903808
opt-1.3b,2,mnli,16,0.53125,0.5,0.53,3145728,1318903808
opt-1.3b,2,mnli,2,0.59375,0.66,0.49,3145728,1318903808
opt-1.3b,2,mnli,32,0.46875,0.57,0.43,3145728,1318903808
opt-1.3b,3,mnli,16,0.75,0.57,0.49,3145728,1318903808
opt-1.3b,3,mnli,2,0.5,0.64,0.43,3145728,1318903808
opt-1.3b,3,mnli,32,0.6875,0.5,0.45,3145728,1318903808
opt-125m,0,mnli,16,0.53125,0.57,0.48,589824,125829120
opt-125m,0,mnli,2,0.59375,0.57,0.42,589824,125829120
opt-125m,0,mnli,32,0.53125,0.57,0.42,589824,125829120
opt-125m,1,mnli,16,0.625,0.58,0.54,589824,125829120
opt-125m,1,mnli,2,0.46875,0.59,0.54,589824,125829120
opt-125m,1,mnli,32,0.5625,0.59,0.54,589824,125829120
opt-125m,2,mnli,16,0.46875,0.59,0.5,589824,125829120
opt-125m,2,mnli,2,0.46875,0.59,0.5,589824,125829120
opt-125m,2,mnli,32,0.46875,0.59,0.49,589824,125829120
opt-125m,3,mnli,16,0.5625,0.59,0.57,589824,125829120
opt-125m,3,mnli,2,0.5,0.59,0.57,589824,125829120
opt-125m,3,mnli,32,0.5,0.59,0.57,589824,125829120
opt-2.7b,0,mnli,16,0.65625,0.57,0.46,5242880,2656839680
opt-2.7b,0,mnli,2,0.53125,0.61,0.47,5242880,2656839680
